id,id2,distritos,validos,CDU_CSU,SPD,AfD,FDP,LINKE,GRÜNE,OTROS,CDU_CSU_porc,SPD_porc,AfD_porc,FDP_porc,LINKE_porc,GRÜNE_porc,OTROS_porc,primero,primer.partido,segundo,segundo.partido
1,1,Flensburg – Schleswig,170318,68120,47711,10583,11147,12144,17911,2702,39.99577261358166,28.01289352857596,6.213670897967331,6.544816167404502,7.130191758945033,10.516210852640356,1.5864441808851677,CDU_CSU,39.99577261358166,SPD,28.01289352857596
2,1,Nordfriesland – Dithmarschen Nord,137897,62256,34685,8117,11105,7102,13026,1606,45.14673995808466,25.152831461163043,5.886277438958063,8.05311210541201,5.150220816986591,9.446180845123536,1.1646373742721017,CDU_CSU,45.14673995808466,SPD,25.152831461163043
3,1,Steinburg – Dithmarschen Süd,130883,54812,34219,10006,14440,7176,8791,1439,41.878624420283764,26.14472467776564,7.644995912379759,11.032754444809486,5.482759411077069,6.716685895036025,1.0994552386482583,CDU_CSU,41.878624420283764,SPD,26.14472467776564
4,1,Rendsburg-Eckernförde,156102,66625,45070,10656,10077,8074,13978,1622,42.68042690036002,28.872147698299827,6.826305876926625,6.455394549717493,5.172259163880027,8.954401609204238,1.0390642016117666,CDU_CSU,42.68042690036002,SPD,28.872147698299827
5,1,Kiel,151679,46560,46991,9283,11363,11114,21743,4625,30.696404907732777,30.98055762498434,6.120161657183922,7.491478714917688,7.327316240217828,14.334878262646775,3.049202592316669,SPD,30.98055762498434,CDU_CSU,30.696404907732777
6,1,Plön – Neumünster,130489,53109,37728,10223,9379,7009,11736,1305,40.69998237399321,28.912781920315123,7.834376844025166,7.187579029650008,5.371333982174742,8.993861551548406,1.0000842982933427,CDU_CSU,40.69998237399321,SPD,28.912781920315123
7,1,Pinneberg,186095,73816,56460,14729,14441,11270,15379,0,39.66576211074989,30.33934280878046,7.914774711840726,7.760015046078615,6.056046642843709,8.2640586797066,0,CDU_CSU,39.66576211074989,SPD,30.33934280878046
8,1,Segeberg – Stormarn-Mitte,191772,78824,52434,15682,15617,10838,16004,2373,41.10297645120247,27.341843439083913,8.177419018417705,8.143524602131698,5.651502826272866,8.345326742172997,1.2374069207183531,CDU_CSU,41.10297645120247,SPD,27.341843439083913
9,1,Ostholstein – Stormarn-Nord,137289,56996,42232,10790,10047,6062,9539,1623,41.5153435453678,30.761386564109287,7.859333231358667,7.318139108013024,4.41550306288195,6.948116746425424,1.1821777418438477,CDU_CSU,41.5153435453678,SPD,30.761386564109287
10,1,Herzogtum Lauenburg – Stormarn-Süd,191765,75737,52171,17435,15775,9785,18688,2174,39.4946940265429,27.205694469793755,9.09185722107788,8.226214376971814,5.102599535890282,9.745261126900113,1.1336792428232472,CDU_CSU,39.4946940265429,SPD,27.205694469793755
11,1,Lübeck,128733,45432,43578,11137,8312,NA,16785,NA,35.291650159632724,33.851459998601754,8.65123938694818,6.456774875129143,NA,13.038614807392044,NA,CDU_CSU,NA,SPD,33.851459998601754
12,13,Schwerin – Ludwigslust-Parchim I – Nordwestmecklenburg I,155102,49733,34267,24764,7470,26655,5837,6376,32.06470580650153,22.093203182421888,15.966267359544043,4.816185477943547,17.18546504880659,3.763329937718405,4.110843187063996,CDU_CSU,32.06470580650153,SPD,22.093203182421888
13,13,Ludwigslust-Parchim II – Nordwestmecklenburg II – Landkreis Rostock I,144838,43453,34705,25262,8290,23433,5858,3837,30.001104682472835,23.961253262265426,17.44155539292175,5.723636062359326,16.178765241165994,4.044518703655118,2.6491666551595574,CDU_CSU,30.001104682472835,SPD,23.961253262265426
14,13,Rostock – Landkreis Rostock II,162239,47923,29056,23785,7368,40202,8333,5572,29.53852033111644,17.909380605156592,14.660470047275934,4.54144811050364,24.779491984048224,5.136249607061187,3.4344393148379857,CDU_CSU,29.53852033111644,LINKE,24.779491984048224
15,13,Vorpommern-Rügen – Vorpommern-Greifswald I,167662,73746,19515,32173,5229,26650,5081,5268,43.98492204554401,11.639488971860052,19.1892020851475,3.1187746776252223,15.895074614402787,3.030501842993642,3.142035762426787,CDU_CSU,43.98492204554401,AfD,19.1892020851475
16,13,Mecklenburgische Seenplatte I – Vorpommern-Greifswald II,154628,48269,21493,36273,8909,29462,3898,6324,31.21620922471997,13.899811159686474,23.45823524846729,5.76156970277052,19.053470264117752,2.5208888429003804,4.0898155573376105,CDU_CSU,31.21620922471997,AfD,23.45823524846729
17,13,Mecklenburgische Seenplatte II – Landkreis Rostock III,142376,53538,22401,26199,6633,24728,4739,4138,37.60324773838287,15.73369107152891,18.401275495870088,4.658790807439456,17.368095746474125,3.3285104231050173,2.906388717199528,CDU_CSU,37.60324773838287,AfD,18.401275495870088
18,2,Hamburg-Mitte,174015,42149,53795,12728,11202,24083,22368,7690,24.22147516018734,30.914001666523,7.314311984599028,6.437376088268253,13.83961152774186,12.85406430480131,4.4191592678792055,SPD,30.914001666523,CDU_CSU,24.22147516018734
19,2,Hamburg-Altona,144929,37575,41947,7425,12482,19704,20817,4979,25.92648814246976,28.943137674309487,5.123198255697617,8.61249301382056,13.59562268421089,14.36358492779223,3.4354753016994524,SPD,28.943137674309487,CDU_CSU,25.92648814246976
20,2,Hamburg-Eimsbüttel,154730,44416,48920,8777,10537,16123,23220,2737,28.705486977315324,31.61636398888386,5.672461707490467,6.809926969559879,10.420086602468817,15.006786014347572,1.7688877399340788,SPD,31.61636398888386,CDU_CSU,28.705486977315324
21,2,Hamburg-Nord,177363,59441,54695,9701,14911,13277,24065,1273,33.513754277949744,30.83788614310764,5.469573699136799,8.407052203672693,7.485777755225159,13.56821885060582,0.7177370703021487,CDU_CSU,33.513754277949744,SPD,30.83788614310764
22,2,Hamburg-Wandsbek,170867,50822,59086,16208,12007,15673,12112,4959,29.743601748728544,34.58011201694885,9.485740371165878,7.027102951418354,9.172631344847163,7.0885542556491306,2.902257311242077,SPD,34.58011201694885,CDU_CSU,29.743601748728544
23,2,Hamburg-Bergedorf – Harburg,153768,43274,53446,16688,8039,16382,11903,4036,28.14239633733937,34.75755683887415,10.852713178294573,5.2280058269600955,10.653712085739556,7.740882368243067,2.6247333645491913,SPD,34.75755683887415,CDU_CSU,28.14239633733937
24,3,Aurich – Emden,139584,38531,69231,NA,6882,9403,9787,NA,27.604166666666668,49.59809147180192,NA,4.930364511691884,6.736445437872536,7.011548601558918,NA,SPD,NA,CDU_CSU,27.604166666666668
25,3,Unterems,174789,87406,48959,13387,7758,7726,8255,1298,50.00657936140146,28.010343900359864,7.658948789683562,4.438494413263992,4.4201866250164485,4.722837249483663,0.7426096607910109,CDU_CSU,50.00657936140146,SPD,28.010343900359864
26,3,Friesland – Wilhelmshaven – Wittmund,137343,44537,54504,11392,8074,8127,7542,3167,32.427571845671054,39.684585308315675,8.294561790553576,5.878712420727667,5.917301937484982,5.4913610449749894,2.305905652272049,SPD,39.684585308315675,CDU_CSU,32.427571845671054
27,3,Oldenburg – Ammerland,174170,52598,63235,11592,10635,14081,19827,2202,30.199230636734224,36.30648217259,6.65556640064305,6.10610323247402,8.08462995923523,11.383705575012918,1.2642820233105585,SPD,36.30648217259,CDU_CSU,30.199230636734224
28,3,Delmenhorst – Wesermarsch – Oldenburg-Land,168228,57390,55326,15122,15208,10262,12933,1987,34.11441614951138,32.88750980811756,8.988991131084004,9.04011222864208,6.10005468768576,7.6877808688208855,1.181135126138336,CDU_CSU,34.11441614951138,SPD,32.88750980811756
