id,id2,distritos,validos,CDU_CSU,SPD,AfD,FDP,LINKE,GRÜNE,OTROS
1,1,Flensburg – Schleswig,170318,68120,47711,10583,11147,12144,17911,2702
2,1,Nordfriesland – Dithmarschen Nord,137897,62256,34685,8117,11105,7102,13026,1606
3,1,Steinburg – Dithmarschen Süd,130883,54812,34219,10006,14440,7176,8791,1439
4,1,Rendsburg-Eckernförde,156102,66625,45070,10656,10077,8074,13978,1622
5,1,Kiel,151679,46560,46991,9283,11363,11114,21743,4625
6,1,Plön – Neumünster,130489,53109,37728,10223,9379,7009,11736,1305
7,1,Pinneberg,186095,73816,56460,14729,14441,11270,15379,0
8,1,Segeberg – Stormarn-Mitte,191772,78824,52434,15682,15617,10838,16004,2373
9,1,Ostholstein – Stormarn-Nord,137289,56996,42232,10790,10047,6062,9539,1623
10,1,Herzogtum Lauenburg – Stormarn-Süd,191765,75737,52171,17435,15775,9785,18688,2174
11,1,Lübeck,128733,45432,43578,11137,8312,NA,16785,NA
12,13,Schwerin – Ludwigslust-Parchim I – Nordwestmecklenburg I,155102,49733,34267,24764,7470,26655,5837,6376
13,13,Ludwigslust-Parchim II – Nordwestmecklenburg II – Landkreis Rostock I,144838,43453,34705,25262,8290,23433,5858,3837
14,13,Rostock – Landkreis Rostock II,162239,47923,29056,23785,7368,40202,8333,5572
15,13,Vorpommern-Rügen – Vorpommern-Greifswald I,167662,73746,19515,32173,5229,26650,5081,5268
16,13,Mecklenburgische Seenplatte I – Vorpommern-Greifswald II,154628,48269,21493,36273,8909,29462,3898,6324
17,13,Mecklenburgische Seenplatte II – Landkreis Rostock III,142376,53538,22401,26199,6633,24728,4739,4138
18,2,Hamburg-Mitte,174015,42149,53795,12728,11202,24083,22368,7690
19,2,Hamburg-Altona,144929,37575,41947,7425,12482,19704,20817,4979
20,2,Hamburg-Eimsbüttel,154730,44416,48920,8777,10537,16123,23220,2737
21,2,Hamburg-Nord,177363,59441,54695,9701,14911,13277,24065,1273
22,2,Hamburg-Wandsbek,170867,50822,59086,16208,12007,15673,12112,4959
23,2,Hamburg-Bergedorf – Harburg,153768,43274,53446,16688,8039,16382,11903,4036
24,3,Aurich – Emden,139584,38531,69231,NA,6882,9403,9787,NA
25,3,Unterems,174789,87406,48959,13387,7758,7726,8255,1298
26,3,Friesland – Wilhelmshaven – Wittmund,137343,44537,54504,11392,8074,8127,7542,3167
27,3,Oldenburg – Ammerland,174170,52598,63235,11592,10635,14081,19827,2202
28,3,Delmenhorst – Wesermarsch – Oldenburg-Land,168228,57390,55326,15122,15208,10262,12933,1987
29,3,Cuxhaven – Stade II,140293,59930,43077,11862,6984,8121,8491,1828
30,3,Stade I – Rotenburg II,151852,67463,42829,12590,8797,7994,10613,1566
31,3,Mittelems,178624,95815,47107,8949,10089,6813,8900,951
32,3,Cloppenburg – Vechta,162119,93545,32997,12683,8306,6640,7034,914
33,3,Diepholz – Nienburg I,146818,65465,40102,11955,10285,7759,11252,0
34,3,Osterholz – Verden,151768,59560,48505,12995,8273,10714,10146,1575
35,3,Rotenburg I – Heidekreis,126097,45510,51938,10331,5659,5219,6053,1387
36,3,Harburg,160512,65223,44017,14826,10458,8638,14565,2785
37,3,Lüchow-Dannenberg – Lüneburg,139618,46740,39169,12131,9245,11729,20604,0
38,3,Osnabrück-Land,150076,68379,42438,9934,9576,7908,11613,228
39,3,Stadt Osnabrück,149408,60185,47279,NA,13353,12521,15108,NA
40,3,Nienburg II – Schaumburg,145477,59128,47615,13292,6539,6530,11206,1167
41,3,Stadt Hannover I,133415,39487,47549,11364,8734,9579,12102,4600
42,3,Stadt Hannover II,147624,42713,49744,10590,8165,13775,16486,6151
43,3,Hannover-Land I,180096,72282,59552,17217,9325,8958,10725,2037
44,3,Celle – Uelzen,160796,68655,48189,16199,8830,7901,9266,1756
45,3,Gifhorn – Peine,167373,60345,63294,16501,8062,8827,9342,1002
46,3,Hameln-Pyrmont – Holzminden,138469,46181,54130,13143,8034,8220,7511,1250
47,3,Hannover-Land II,186766,65815,69104,17570,10092,10124,10693,3368
48,3,Hildesheim,167861,60457,62448,14433,9330,8502,12691,0
49,3,Salzgitter – Wolfenbüttel,155479,45310,66587,18564,7268,9290,6680,1780
50,3,Braunschweig,146350,45881,55641,11377,7877,11145,11761,2668
51,3,Helmstedt – Wolfsburg,135832,47416,51646,13857,7791,8128,6096,898
52,3,Goslar – Northeim – Osterode,149372,59391,51953,13937,7438,8525,8128,0
53,3,Göttingen,169108,56250,59032,11870,7734,9905,19131,5186
54,4,Bremen I,185437,44912,55656,14290,20702,22666,22117,5094
55,4,Bremen II – Bremerhaven,145606,36363,49463,16645,9755,16739,11269,5372
56,12,Prignitz – Ostprignitz-Ruppin – Havelland I,118415,36481,28061,21296,4226,20849,3547,3955
57,12,Uckermark – Barnim I,127876,39102,24843,25804,4859,23589,4714,4965
58,12,Oberhavel – Havelland II,182290,54455,41423,32762,9514,26839,9685,7612
59,12,Märkisch-Oderland – Barnim II,167605,47594,26526,33915,7111,37721,8972,5766
60,12,Brandenburg an der Havel – Potsdam-Mittelmark I – Havelland III – Teltow-Fläming I,125798,39991,31548,21312,5763,19038,4293,3853
61,12,Potsdam – Potsdam-Mittelmark II – Teltow-Fläming II,193510,48095,50588,23890,14425,31840,15549,9123
62,12,Dahme-Spreewald – Teltow-Fläming III – Oberspreewald-Lausitz I,184378,56607,36148,37358,8910,30278,8127,6950
63,12,Frankfurt (Oder) – Oder-Spree,137959,37344,23598,30261,7008,26401,4504,8843
64,12,Cottbus – Spree-Neiße,129723,36855,22019,32776,7426,20359,4319,5969
65,12,Elbe-Elster – Oberspreewald-Lausitz II,120848,35633,20142,29830,6492,19583,3543,5625
66,15,Altmark,109455,35644,20900,18031,7388,20973,3738,2781
67,15,Börde – Jerichower Land,145948,55110,29174,NA,11080,29616,3540,NA
68,15,Harz,141128,51386,24767,22792,6923,27104,4462,3694
69,15,Magdeburg,160556,44021,34877,24509,10796,30299,6417,9637
70,15,Dessau – Wittenberg,121399,42781,14806,23520,6051,22086,5607,6548
71,15,Anhalt,145192,45843,18687,32281,9213,30757,2854,5557
72,15,Halle,150275,40690,32053,26018,10131,30530,5475,5378
73,15,Burgenland – Saalekreis,128915,43254,16930,30112,8538,21819,3198,5064
74,15,Mansfeld,137657,42725,20864,32864,11091,24863,3647,1603
75,11,Berlin-Mitte,149071,27654,35036,11782,9017,30492,26781,8309
76,11,Berlin-Pankow,186313,36429,30509,22487,7890,53618,26376,9004
77,11,Berlin-Reinickendorf,134860,49654,31882,17738,9688,10384,10647,4867
78,11,Berlin-Spandau – Charlottenburg Nord,130574,40372,41965,17551,8292,9861,8031,4502
79,11,Berlin-Steglitz-Zehlendorf,178373,63085,43801,14549,16159,13392,22712,4675
80,11,Berlin-Charlottenburg-Wilmersdorf,156114,47077,43123,11722,14426,14745,21286,3735
81,11,Berlin-Tempelhof-Schöneberg,178666,51708,39380,16188,11362,19356,33763,6909
82,11,Berlin-Neukölln,141105,34593,37777,15105,7255,23204,15480,7691
83,11,Berlin-Friedrichshain-Kreuzberg – Prenzlauer Berg Ost,171349,20955,29028,10558,5263,42600,45055,17890
84,11,Berlin-Treptow-Köpenick,155192,29384,21379,23245,5831,61881,7755,5717
85,11,Berlin-Marzahn-Hellersdorf,136785,30480,17172,28167,4852,46782,4440,4892
86,11,Berlin-Lichtenberg,147072,28905,20720,23119,5018,51249,8609,9452
87,5,Aachen I,139357,47011,45309,7817,10232,12282,13104,3602
88,5,Aachen II,171176,62405,63135,15114,11038,8785,7782,2917
89,5,Heinsberg,140604,64121,39301,11652,9334,6424,6964,2808
90,5,Düren,149838,62711,47543,13404,8788,6611,8235,2546
91,5,Rhein-Erft-Kreis I,189339,74207,58792,17113,17648,8590,10354,2635
92,5,Euskirchen – Rhein-Erft-Kreis II,185575,79493,48592,17650,18316,10835,10689,0
93,5,Köln I,138196,43683,42799,11952,10652,11898,13535,3677
94,5,Köln II,196761,68657,52880,9057,17816,15704,28716,3931
95,5,Köln III,149098,41106,48148,11249,10599,14431,19621,3944
96,5,Bonn,178941,57330,62377,10882,18724,10193,15056,4379
97,5,Rhein-Sieg-Kreis I,180563,79987,49988,NA,18768,14684,11762,NA
98,5,Rhein-Sieg-Kreis II,172898,80441,39246,14592,14491,9543,13643,942
99,5,Oberbergischer Kreis,154631,67603,41305,15648,12123,7999,9489,464
100,5,Rheinisch-Bergischer Kreis,172240,68948,42098,12476,27049,8409,11846,1414
101,5,Leverkusen – Köln IV,153520,47272,59373,13408,10114,9430,8722,5201
102,5,Wuppertal I,148006,43814,46657,16339,12910,13120,10987,4179
103,5,Solingen – Remscheid – Wuppertal II,161762,61871,49863,15303,12548,10105,9403,2669
104,5,Mettmann I,158550,70762,40819,14106,13202,8647,11014,0
105,5,Mettmann II,123986,48689,37468,11143,10795,6825,7567,1499
106,5,Düsseldorf I,171387,69273,41903,10912,21944,12611,14408,336
107,5,Düsseldorf II,141828,47950,38727,11530,13049,18499,11778,295
108,5,Neuss I,158292,69658,45314,13675,11471,8535,8131,1508
109,5,Mönchengladbach,130443,57766,31766,11910,10225,8921,7814,2041
110,5,Krefeld I – Neuss II,153673,65228,39142,11196,17673,7815,10140,2479
111,5,Viersen,171590,82165,42932,12035,14233,8747,11478,0
112,5,Kleve,167383,75375,51197,11019,12692,7096,8230,1774
113,5,Wesel I,158681,61849,52085,13615,12644,9461,8763,264
114,5,Krefeld II – Wesel II,132097,48817,42219,11294,10769,7418,8063,3517
115,5,Duisburg I,118768,34053,45455,13648,8289,8146,6648,2529
116,5,Duisburg II,100308,26522,34799,16643,7054,8885,4622,1783
117,5,Oberhausen – Wesel III,148121,43077,56987,18197,9357,11331,8349,823
118,5,Mülheim – Essen I,141064,44219,49226,16221,12729,9210,8690,769
119,5,Essen II,108754,28912,40601,17153,7207,8555,5846,480
120,5,Essen III,152104,56393,46829,12306,12639,9846,12511,1580
121,5,Recklinghausen I,122242,37792,47257,13953,8791,8043,6079,327
122,5,Recklinghausen II,136147,46982,56019,NA,13903,11502,6363,NA
123,5,Gelsenkirchen,117421,29768,45017,19836,7864,7614,5444,1878
124,5,Steinfurt I – Borken I,153182,78579,39584,9265,10082,7554,8118,0
125,5,Bottrop – Recklinghausen III,149859,50334,55128,17756,9667,9505,6522,947
126,5,Borken II,155771,81496,39412,NA,14216,6969,10496,NA
127,5,Coesfeld – Steinfurt II,154379,79677,36250,NA,16195,9577,12680,NA
128,5,Steinfurt III,151177,67678,45797,9530,8533,8520,9857,1262
129,5,Münster,189854,70606,54778,8569,13219,13024,24248,5410
130,5,Warendorf,161586,75017,45094,11078,11291,7738,8968,2400
131,5,Gütersloh I,174626,81298,48942,13996,11401,7582,9992,1415
132,5,Bielefeld – Gütersloh II,184077,56485,61086,15028,13495,16489,17728,3766
133,5,Herford – Minden-Lübbecke II,166592,59571,61205,16633,9411,9353,8444,1975
134,5,Minden-Lübbecke I,149530,53057,55868,14796,10575,7862,7372,0
135,5,Lippe I,127277,46526,40908,13005,10690,6870,7671,1607
136,5,Höxter – Lippe II,157854,69910,42211,14443,10813,8724,9400,2353
137,5,Paderborn – Gütersloh III,185597,99004,36983,16891,10228,9554,11116,1821
138,5,Hagen – Ennepe-Ruhr-Kreis I,148299,44948,58206,16716,11727,8045,5752,2905
139,5,Ennepe-Ruhr-Kreis II,134376,44273,49333,NA,14175,10804,11538,NA
140,5,Bochum I,155017,43773,57655,14775,10923,15462,11937,492
141,5,Herne – Bochum II,125744,30361,52672,16799,8448,10064,6992,408
142,5,Dortmund I,154526,44228,59990,14644,9063,11874,11281,3446
143,5,Dortmund II,141889,39933,55038,15074,9031,12242,9047,1524
144,5,Unna I,149385,47452,58019,13558,9635,8048,9600,3073
145,5,Hamm – Unna II,169568,59700,61717,17713,9970,9949,7409,3110
146,5,Soest,172492,73595,50458,15311,13681,9756,9459,232
147,5,Hochsauerlandkreis,152615,73185,41047,11115,12893,6452,6476,1447
148,5,Siegen-Wittgenstein,160701,64484,48560,15728,11742,9554,6885,3748
149,5,Olpe – Märkischer Kreis I,150760,72158,39699,13306,13230,7197,5170,0
150,5,Märkischer Kreis II,142093,53714,54890,NA,15221,11113,5356,NA
151,14,Nordsachsen,116438,38207,16248,31244,7641,20028,3070,0
152,14,Leipzig I,159781,43919,26330,32702,9074,31132,8735,7889
153,14,Leipzig II,173636,42778,23787,25968,10052,43948,17273,9830
